ID,Tên xe,Dòng xe,Hãng,Xuất xứ,Số cửa,Số chỗ ngồi,Động cơ,Tình trạng,Năm sản xuất,Giá,Tỉnh
1168135,Xe Toyota Innova E 2.0 MT 2023,Crossover,Toyota,Lắp ráp trong nước,5,8,Xăng,Xe mới,2023,715000000,TP HCM
1185796,Xe Suzuki Super Carry Truck Thùng cánh dơi 2023,Truck,Suzuki,Lắp ráp trong nước,2,2,Xăng,Xe mới,2023,285000000,TP HCM
1210562,Xe Daewoo Novus Trộn Bê Tông 2022,Truck,Daewoo,Nhập khẩu,2,3,Dầu,Xe mới,2022,1900000000,TP HCM
1247739,Xe Volvo V60 Cross Country B5 AWD 2023,SUV,Volvo,Nhập khẩu,5,5,Xăng,Xe mới,2023,2690000000,Hà Nội
1280936,Xe Hino 500 Series Maximus 10 Tấn 2022,Truck,Hino,Nhập khẩu,2,3,Dầu,Xe mới,2022,1255000000,TP HCM
1342584,Xe Mercedes Benz GLS 450 4Matic 2022,SUV,Mercedes Benz,Nhập khẩu,5,7,Xăng,Xe mới,2022,5309000000,TP HCM
1342730,Xe Mercedes Benz C class C200 Avantgarde 2022,Sedan,Mercedes Benz,Lắp ráp trong nước,4,5,Xăng,Xe mới,2022,1709000000,TP HCM
1343488,Xe Mercedes Benz V class V250 AMG 2022,Van/Minivan,Mercedes Benz,Nhập khẩu,5,6,Xăng,Xe mới,2022,3669000000,TP HCM
1343600,Xe Mercedes Benz GLC 300 4Matic 2022,SUV,Mercedes Benz,Lắp ráp trong nước,4,5,Xăng,Xe mới,2022,2639000000,TP HCM
1343791,Xe Mercedes Benz Maybach S450 2022,Sedan,Mercedes Benz,Nhập khẩu,4,4,Xăng,Xe mới,2022,8199000000,TP HCM
1347208,Xe Mercedes Benz S class S450 Luxury 2022,Sedan,Mercedes Benz,Nhập khẩu,4,5,Xăng,Xe mới,2022,5559000000,TP HCM
1393396,Xe Mazda 3 1.5L Premium 2023,Sedan,Mazda,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,734000000,TP HCM
1393417,Xe Mazda 3 1.5L Deluxe 2023,Sedan,Mazda,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,604000000,TP HCM
1394005,Xe Mazda 3 1.5L Sport Premium 2023,Hatchback,Mazda,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,719000000,TP HCM
1429536,Xe Hyundai Accent 1.4 MT 2023,Sedan,Hyundai,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,425000000,TP HCM
1429547,Xe Hyundai SantaFe Cao cấp 2.5L HTRAC 2023,SUV,Hyundai,Lắp ráp trong nước,5,7,Xăng,Xe mới,2023,1200000000,TP HCM
1429562,Xe Hyundai Tucson 2.0 AT Tiêu chuẩn 2022,Crossover,Hyundai,Lắp ráp trong nước,5,5,Xăng,Xe mới,2022,792000000,TP HCM
1429579,Xe Hyundai Stargazer Đặc biệt 1.5 AT 2022,Van/Minivan,Hyundai,Nhập khẩu,5,7,Xăng,Xe mới,2022,548000000,TP HCM
1429653,Xe Hyundai Creta Tiêu chuẩn 1.5 AT 2022,Crossover,Hyundai,Nhập khẩu,5,5,Xăng,Xe mới,2022,567000000,TP HCM
1464997,Xe Hyundai i10 1.2 AT 2023,Hatchback,Hyundai,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,411000000,TP HCM
1465025,Xe Hyundai Elantra 1.6 AT Đặc biệt 2022,Sedan,Hyundai,Lắp ráp trong nước,4,5,Xăng,Xe mới,2022,620000000,TP HCM
1465065,Xe Hyundai SantaFe Cao cấp 2.5L HTRAC 2023,SUV,Hyundai,Lắp ráp trong nước,5,7,Xăng,Xe mới,2023,1205000000,TP HCM
1465078,Xe Hyundai Elantra N-Line 1.6 Turbo AT 2023,Sedan,Hyundai,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,769000000,TP HCM
1465099,Xe Hyundai SantaFe Tiêu chuẩn 2.5L 2023,SUV,Hyundai,Lắp ráp trong nước,5,7,Xăng,Xe mới,2023,1010000000,TP HCM
1465123,Xe Hyundai i10 1.2 AT 2023,Hatchback,Hyundai,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,412000000,TP HCM
1467840,Xe Hyundai Stargazer Cao cấp 1.5 AT 2022,Van/Minivan,Hyundai,Nhập khẩu,5,7,Xăng,Xe mới,2022,605000000,TP HCM
1508142,Xe Suzuki Super Carry Truck 1.0 MT 2021,Truck,Suzuki,Lắp ráp trong nước,2,2,Xăng,Xe mới,2021,249000000,Hà Nội
1519607,Xe Hyundai Tucson 2.0 AT CRDi Đặc biệt 2023,Crossover,Hyundai,Lắp ráp trong nước,5,5,Dầu,Xe mới,2023,1045000000,TP HCM
1570629,Xe Suzuki Super Carry Truck 1.0 MT 2022,Truck,Suzuki,Lắp ráp trong nước,2,2,Xăng,Xe mới,2022,282000000,Bà Rịa Vũng Tàu
1570743,Xe Suzuki Super Carry Truck 1.0 MT 2022,Truck,Suzuki,Lắp ráp trong nước,2,2,Xăng,Xe mới,2022,249000000,Bà Rịa Vũng Tàu
1570896,Xe Suzuki Super Carry Truck 1.0 MT Ben 2022,Truck,Suzuki,Lắp ráp trong nước,2,2,Xăng,Xe mới,2022,282000000,Bà Rịa Vũng Tàu
1580673,Xe Hyundai Accent 1.4 AT Đặc Biệt 2023,Sedan,Hyundai,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,512000000,TP HCM
1599616,Xe Toyota Innova 2.0G 2023,Crossover,Toyota,Lắp ráp trong nước,5,8,Xăng,Xe mới,2023,870000000,Nam Định
1625985,Xe Toyota Innova G 2.0 AT 2023,Crossover,Toyota,Lắp ráp trong nước,5,8,Xăng,Xe mới,2023,840000000,TP HCM
1660868,Xe Honda CRV G 2023,SUV,Honda,Lắp ráp trong nước,5,7,Xăng,Xe mới,2023,923000000,Hà Nội
1668465,Xe Hyundai Creta Đặc biệt 1.5 AT 2022,Crossover,Hyundai,Nhập khẩu,5,5,Xăng,Xe mới,2022,618000000,TP HCM
1733151,Xe Toyota Innova Venturer 2.0 AT 2023,Crossover,Toyota,Lắp ráp trong nước,5,8,Xăng,Xe mới,2023,885000000,TP HCM
1736820,Xe Toyota Hilux 2.4L 4x2 AT 2023,Bán tải / Pickup,Toyota,Nhập khẩu,4,5,Dầu,Xe mới,2023,852000000,Hà Nội
1784799,Xe Suzuki Ciaz 1.4 AT 2022,Sedan,Suzuki,Nhập khẩu,4,5,Xăng,Xe mới,2022,534000000,Bà Rịa Vũng Tàu
1799555,Xe Suzuki Carry Pro Thùng kín 2022,Truck,Suzuki,Nhập khẩu,2,2,Xăng,Xe mới,2022,325000000,Bà Rịa Vũng Tàu
1799592,Xe Suzuki Carry Pro 2022,Truck,Suzuki,Nhập khẩu,2,2,Xăng,Xe mới,2022,299000000,Bà Rịa Vũng Tàu
1807887,Xe Mitsubishi Pajero Sport 2.4D 4x2 AT 2023,SUV,Mitsubishi,Nhập khẩu,5,7,Dầu,Xe mới,2023,1130000000,Hà Nội
1875988,Xe Hyundai Creta Đặc biệt 1.5 AT 2022,Crossover,Hyundai,Nhập khẩu,5,5,Xăng,Xe mới,2022,618000000,TP HCM
1876186,Xe Hyundai Creta Đặc biệt 1.5 AT 2022,Crossover,Hyundai,Nhập khẩu,5,5,Xăng,Xe mới,2022,618000000,TP HCM
1876223,Xe Hyundai Accent 1.4 AT 2023,Sedan,Hyundai,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,463000000,TP HCM
1876299,Xe Hyundai Creta Cao cấp 1.5 AT 2022,Crossover,Hyundai,Nhập khẩu,5,5,Xăng,Xe mới,2022,706000000,TP HCM
1888442,Xe Hyundai Tucson 2.0 AT Đặc biệt 2023,Crossover,Hyundai,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,928000000,TP HCM
1939983,Xe Hyundai Accent 1.4 MT Tiêu Chuẩn 2023,Sedan,Hyundai,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,405000000,TP HCM
1977257,Xe Mercedes Benz GLC 200 2022,SUV,Mercedes Benz,Lắp ráp trong nước,5,5,Xăng,Xe mới,2022,1859000000,Hà Nội
2001944,Xe Suzuki Swift GLX 1.2 AT 2022,Hatchback,Suzuki,Nhập khẩu,5,5,Xăng,Xe mới,2022,549000000,Bà Rịa Vũng Tàu
2048368,Xe Suzuki Swift GLX 2023,Hatchback,Suzuki,Nhập khẩu,5,5,Xăng,Xe mới,2023,559000000,Hà Nội
2050181,Xe Mazda 3 1.5L Sport Luxury 2023,Hatchback,Mazda,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,659000000,TP HCM
2052733,Xe Toyota Corolla altis 1.8G 2023,Sedan,Toyota,Nhập khẩu,4,5,Xăng,Xe mới,2023,719000000,Nam Định
2052839,Xe Ford Transit Tiêu chuẩn 2023,Van/Minivan,Ford,Lắp ráp trong nước,4,16,Dầu,Xe mới,2023,849000000,TP HCM
2055450,Xe Ford Everest Titanium Plus 2.0L 4x4 AT 2023,SUV,Ford,Nhập khẩu,5,7,Dầu,Xe mới,2023,1482000000,TP HCM
2056515,Xe Toyota Wigo 1.2G MT 2023,Hatchback,Toyota,Nhập khẩu,5,5,Xăng,Xe mới,2023,352000000,Nam Định
2062513,Xe Toyota Wigo 1.2G AT 2023,Hatchback,Toyota,Nhập khẩu,5,5,Xăng,Xe mới,2023,385000000,Nam Định
2094956,Xe Mercedes Benz G class G63 AMG 2022,SUV,Mercedes Benz,Nhập khẩu,5,5,Xăng,Xe mới,2022,11750000000,TP HCM
2112854,Xe Mercedes Benz C class C200 Avantgarde Plus 2022,Sedan,Mercedes Benz,Lắp ráp trong nước,4,5,Xăng,Xe mới,2022,1789000000,TP HCM
2142752,Xe Toyota Vios E 1.5 MT 2023,Sedan,Toyota,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,489000000,TP HCM
2165805,Xe Mazda CX5 2.0 Deluxe 2023,SUV,Mazda,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,754000000,Hà Nội
2255425,Xe Mercedes Benz C class C300 AMG 2022,Sedan,Mercedes Benz,Lắp ráp trong nước,4,5,Xăng,Xe mới,2022,2199000000,TP HCM
2255426,Xe Mercedes Benz S class S450 2022,Sedan,Mercedes Benz,Nhập khẩu,4,5,Xăng,Xe mới,2022,5039000000,TP HCM
2261455,Xe Audi Q7 S-line 3.6 AT 2009,SUV,Audi,Nhập khẩu,5,7,Xăng,Xe đã dùng,2009,580000000,TP HCM
2267738,Xe Mercedes Benz GLB 35 4Matic 2022,SUV,Mercedes Benz,Nhập khẩu,5,7,Xăng,Xe mới,2022,2849000000,TP HCM
2274966,Xe Toyota Vios G 1.5 CVT 2023,Sedan,Toyota,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,546000000,Hà Nội
2301154,Xe Ford Ranger Wildtrak 2.0L 4x4 AT 2023,Bán tải / Pickup,Ford,Lắp ráp trong nước,4,5,Dầu,Xe mới,2023,972000000,TP HCM
2301669,Xe Ford Transit Tiêu chuẩn 2023,Van/Minivan,Ford,Lắp ráp trong nước,4,16,Dầu,Xe mới,2023,849000000,TP HCM
2301707,Xe Ford Everest Titanium Plus 2.0L 4x4 AT 2023,SUV,Ford,Nhập khẩu,5,7,Dầu,Xe mới,2023,1475000000,TP HCM
2302095,Xe Subaru Forester 2.0i-S EyeSight 2022,SUV,Subaru,Nhập khẩu,5,5,Xăng,Xe mới,2022,999000000,TP HCM
2314021,Xe Ford Everest Titanium Plus 2.0L 4x4 AT 2023,SUV,Ford,Nhập khẩu,5,7,Dầu,Xe mới,2023,1468000000,TP HCM
2324881,Xe Toyota Innova G 2.0 AT 2023,Crossover,Toyota,Lắp ráp trong nước,5,8,Xăng,Xe mới,2023,870000000,TP HCM
2324982,Xe Toyota Yaris G 1.5 AT 2023,Hatchback,Toyota,Nhập khẩu,5,5,Xăng,Xe mới,2023,684000000,TP HCM
2373043,Xe Mazda CX5 2.0 Luxury 2023,SUV,Mazda,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,794000000,Hà Nội
2417656,Xe Honda Civic RS 1.5 AT 2023,Sedan,Honda,Nhập khẩu,4,5,Xăng,Xe mới,2023,875000000,Đồng Nai
2439373,Xe Ford Ranger XL 2.0L 4x4 MT 2023,Bán tải / Pickup,Ford,Lắp ráp trong nước,4,5,Dầu,Xe mới,2023,659000000,TP HCM
2446532,Xe Ford Ranger XLS 2.0L 4x2 AT 2023,Bán tải / Pickup,Ford,Lắp ráp trong nước,4,5,Dầu,Xe mới,2023,688000000,TP HCM
2446553,Xe Ford Transit Van 940Kg 2023,Van/Minivan,Ford,Lắp ráp trong nước,4,3,Dầu,Xe mới,2023,849000000,TP HCM
2450325,Xe Hyundai Tucson 2.0 AT CRDi Đặc biệt 2022,Crossover,Hyundai,Lắp ráp trong nước,5,5,Dầu,Xe mới,2022,1015000000,TP HCM
2450364,Xe Hyundai Accent 1.4 AT 2022,Sedan,Hyundai,Lắp ráp trong nước,4,5,Xăng,Xe mới,2022,451000000,TP HCM
2450413,Xe Hyundai SantaFe Cao cấp 2.2L HTRAC 2022,SUV,Hyundai,Lắp ráp trong nước,5,7,Dầu,Xe mới,2022,1205000000,TP HCM
2453826,Xe Hyundai HD 270 BEN-GA CƠ 2017,Truck,Hyundai,Nhập khẩu,2,3,Dầu,Xe mới,2017,500000000,TP HCM
2457664,Xe Hyundai Accent 1.4 AT Đặc Biệt 2022,Sedan,Hyundai,Lắp ráp trong nước,4,5,Xăng,Xe mới,2022,482000000,TP HCM
2457673,Xe Hyundai Accent 1.4 MT Tiêu Chuẩn 2022,Sedan,Hyundai,Lắp ráp trong nước,4,5,Xăng,Xe mới,2022,406000000,TP HCM
2457693,Xe Hyundai i10 1.2 AT 2023,Sedan,Hyundai,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,415000000,TP HCM
2457804,Xe Hyundai i10 1.2 MT Tiêu Chuẩn 2022,Hatchback,Hyundai,Lắp ráp trong nước,5,5,Xăng,Xe mới,2022,333000000,TP HCM
2486139,Xe Suzuki Swift GLX 1.2 AT 2023,Hatchback,Suzuki,Nhập khẩu,5,5,Xăng,Xe mới,2023,559000000,Hà Nội
2519967,Xe Mercedes Benz S class S450 Luxury 2022,Sedan,Mercedes Benz,Nhập khẩu,4,5,Xăng,Xe mới,2022,5379000000,Hà Nội
2520372,Xe Mercedes Benz GLC 200 4Matic 2022,SUV,Mercedes Benz,Lắp ráp trong nước,5,5,Xăng,Xe mới,2022,2129000000,Hà Nội
2520901,Xe Hyundai SantaFe Cao cấp 2.2L HTRAC 2022,SUV,Hyundai,Lắp ráp trong nước,5,7,Dầu,Xe mới,2022,1205000000,TP HCM
2538257,Xe Suzuki Ertiga GL 1.5 MT 2022,SUV,Suzuki,Nhập khẩu,5,7,Xăng,Xe mới,2022,499000000,Bà Rịa Vũng Tàu
2544507,Xe Hyundai Accent 1.4 AT Đặc Biệt 2022,Sedan,Hyundai,Lắp ráp trong nước,4,5,Xăng,Xe mới,2022,482000000,TP HCM
2545177,Xe Hyundai Creta Tiêu chuẩn 1.5 AT 2022,Crossover,Hyundai,Nhập khẩu,5,5,Xăng,Xe mới,2022,569000000,TP HCM
2545232,Xe Hyundai Tucson 2.0 AT Tiêu chuẩn 2022,Crossover,Hyundai,Lắp ráp trong nước,5,5,Xăng,Xe mới,2022,786000000,TP HCM
2545268,Xe Hyundai SantaFe Cao cấp 2.5L HTRAC 2022,SUV,Hyundai,Lắp ráp trong nước,5,7,Xăng,Xe mới,2022,1178000000,TP HCM
2545274,Xe Hyundai SantaFe Cao cấp 2.5L HTRAC 2022,SUV,Hyundai,Lắp ráp trong nước,5,7,Xăng,Xe mới,2022,1201000000,TP HCM
2545864,Xe Hyundai SantaFe Tiêu chuẩn 2.5L 2022,SUV,Hyundai,Lắp ráp trong nước,5,7,Xăng,Xe mới,2022,1010000000,TP HCM
2545890,Xe Hyundai i10 1.2 AT 2023,Hatchback,Hyundai,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,399000000,TP HCM
2551314,Xe Hyundai Tucson 2.0 AT Tiêu chuẩn 2022,Crossover,Hyundai,Lắp ráp trong nước,5,5,Xăng,Xe mới,2022,786000000,TP HCM
2559761,Xe Kia Carnival Luxury 2.2D 2022,Van/Minivan,Kia,Lắp ráp trong nước,5,8,Dầu,Xe mới,2022,1289000000,TP HCM
2572566,Xe Volvo V60 Cross Country B5 AWD 2023,Wagon,Volvo,Nhập khẩu,5,5,Xăng,Xe mới,2023,2690000000,Hà Nội
2572605,Xe Volvo XC60 Inscription B6 AWD 2023,SUV,Volvo,Nhập khẩu,5,5,Xăng,Xe mới,2023,2320000000,Hà Nội
2572676,Xe Volvo XC90 Recharge T8 AWD 2023,SUV,Volvo,Nhập khẩu,5,7,Hybrid,Xe mới,2023,4650000000,Hà Nội
2574165,Xe Mazda CX8 Premium AWD 2022,SUV,Mazda,Lắp ráp trong nước,5,7,Xăng,Xe mới,2022,1169000000,Hà Nội
2575236,Xe Toyota Fortuner 2.4G 4x2 MT 2022,SUV,Toyota,Lắp ráp trong nước,5,7,Dầu,Xe mới,2022,1026000000,TP HCM
2597782,Xe Mazda CX8 Luxury 2022,SUV,Mazda,Lắp ráp trong nước,5,7,Xăng,Xe mới,2022,997000000,Hà Nội
2613860,Xe Ford Everest Titanium Plus 2.0L 4x4 AT 2023,SUV,Ford,Nhập khẩu,5,7,Dầu,Xe mới,2023,1468000000,TP HCM
2613878,Xe Ford Everest Sport 2.0L 4x2 AT 2023,SUV,Ford,Nhập khẩu,5,7,Dầu,Xe mới,2023,1178000000,TP HCM
2613899,Xe Ford Ranger XLT 2.0L 4x4 AT 2023,Bán tải / Pickup,Ford,Lắp ráp trong nước,4,5,Dầu,Xe mới,2023,830000000,TP HCM
2613995,Xe Ford Territory Titanium 1.5 AT 2023,SUV,Ford,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,909000000,TP HCM
2614014,Xe Ford Explorer Limited 2.3L EcoBoost 2023,SUV,Ford,Nhập khẩu,5,7,Xăng,Xe mới,2023,2439000000,TP HCM
2614057,Xe Ford Ranger Wildtrak 2.0L 4x4 AT 2023,Bán tải / Pickup,Ford,Lắp ráp trong nước,4,5,Dầu,Xe mới,2023,965000000,TP HCM
2614112,Xe Ford Territory Titanium X 1.5 AT 2023,SUV,Ford,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,954000000,TP HCM
2614182,Xe Ford Ranger Raptor 2.0L 4x4 AT 2023,Bán tải / Pickup,Ford,Nhập khẩu,4,5,Dầu,Xe mới,2023,1299000000,TP HCM
2676458,Xe Mazda CX5 Signature Premium 2.5 AT AWD I-Activ 2023,SUV,Mazda,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,954000000,Hà Nội
2681162,Xe Suzuki Ertiga GL 1.5 MT 2022,SUV,Suzuki,Nhập khẩu,5,7,Xăng,Xe mới,2022,499000000,Bà Rịa Vũng Tàu
2720166,Xe Ford Territory Titanium X 1.5 AT 2023,SUV,Ford,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,954000000,TP HCM
2751459,Xe Toyota Fortuner 2.7L 4x2 AT 2022,SUV,Toyota,Nhập khẩu,5,7,Xăng,Xe mới,2022,1018000000,Hà Nội
2769939,Xe Mazda CX5 Deluxe 2.0 AT 2023,SUV,Mazda,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,759000000,Hà Nội
2772550,Xe Mazda CX5 2.0 Deluxe 2022,SUV,Mazda,Lắp ráp trong nước,5,5,Xăng,Xe mới,2022,759000000,Hà Nội
2808129,Xe Suzuki Carry Pro 2022,Truck,Suzuki,Nhập khẩu,2,2,Xăng,Xe mới,2022,318000000,Hà Nội
2813199,Xe Suzuki Carry Pro 2023,Truck,Suzuki,Nhập khẩu,2,2,Xăng,Xe mới,2023,324000000,TP HCM
2867693,Xe Mitsubishi Triton 4x2 AT 2023,Bán tải / Pickup,Mitsubishi,Nhập khẩu,4,5,Dầu,Xe mới,2023,650000000,Quảng Ninh
2906381,Xe Mazda CX5 Premium 2.0 AT 2023,SUV,Mazda,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,819000000,Hà Nội
2906419,Xe Mazda CX5 Signature Premium 2.5 AT AWD I-Activ 2023,SUV,Mazda,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,959000000,Hà Nội
2906554,Xe Mazda CX5 2.0 Premium 2023,SUV,Mazda,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,819000000,TP HCM
2906562,Xe Mazda CX5 Luxury 2.0 AT 2023,SUV,Mazda,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,799000000,TP HCM
2928467,Xe Mazda 3 1.5L Sport Premium 2023,Hatchback,Mazda,Lắp ráp trong nước,5,5,Xăng,Xe mới,2023,714000000,Hà Nội
2930139,Xe Mitsubishi Triton 4x2 AT 2023,Bán tải / Pickup,Mitsubishi,Nhập khẩu,4,5,Dầu,Xe mới,2023,650000000,Quảng Ninh
2963299,Xe Mazda 2 Sport Luxury 2023,Hatchback,Mazda,Nhập khẩu,5,5,Xăng,Xe mới,2023,517000000,Hà Nội
2971738,Xe Ford Ranger XLS 2.0L 4x2 AT 2023,Bán tải / Pickup,Ford,Lắp ráp trong nước,4,5,Dầu,Xe mới,2023,688000000,Hà Nội
2978446,Xe Ford Ranger XLT 2.0L 4x4 AT 2023,Bán tải / Pickup,Ford,Lắp ráp trong nước,4,5,Dầu,Xe mới,2023,790000000,Hà Nội
2986873,Xe Toyota Fortuner 2.4L 4x2 AT 2022,SUV,Toyota,Lắp ráp trong nước,5,7,Dầu,Xe mới,2022,1018000000,Hà Nội
2990472,Xe Mercedes Benz AMG GT 53 4Matic 2022,Coupe,Mercedes Benz,Nhập khẩu,4,5,Xăng,Xe mới,2022,6719000000,TP HCM
3019216,Xe Toyota Vios G 1.5 CVT 2023,Sedan,Toyota,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,592000000,TP HCM
3022512,Xe Toyota Alphard Luxury Executive Lounge 2023,Van/Minivan,Toyota,Nhập khẩu,5,7,Xăng,Xe mới,2023,4280000000,TP HCM
3035229,Xe Mazda 3 1.5L Deluxe 2023,Sedan,Mazda,Lắp ráp trong nước,4,5,Xăng,Xe mới,2023,599000000,Hà Nội
3080407,Xe Ford Ranger Raptor 2.0L 4x4 AT 2023,Bán tải / Pickup,Ford,Nhập khẩu,4,5,Dầu,Xe mới,2023,1299000000,TP HCM
